transaction_amount_usd,usd_eth,historic_usd_val,transaction_count_total,transaction_count_sent,eth_fee_spent,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,token_contracts_count,unique_outgoing_address,ether_sent_out,ether_recv_in
144937.98613965858,266.0,103555.37,32,30,0.013018656,0,0,0,0,0,0,29,77.7803561,467.0992910415736
233949.395368576,265.88,135436.76,22,21,0.009393541209639552,0,0,0,0,0,0,20,379.9059552,500.0
9001.4470263438,240.94,113728.24,21,21,0.011946816,5,4,1,1,4,1,15,37.35970377,0.0
32932.927619657996,245.67,83017.75,49,49,0.04153866713393146,34,34,0,0,22,1,14,134.0535174,0.0
24281.8083309648,237.72,55996.18,164,164,0.22410145597332687,133,131,2,1,75,1,32,102.14457484,0.0
2050.770609552,205.76,46404.47,74,74,0.061199082,58,58,0,0,43,1,14,9.96680895,0.0
10996.1219924895,190.55,31967.77,72,72,0.054115638,47,47,0,0,30,1,17,57.70727889,0.0
11371.3097009095,224.15,26223.15,61,61,0.04568201054652713,43,43,0,0,29,1,15,50.73080393,0.0
117052.03712074019,205.41,112362.46,160,159,0.1279105,131,130,1,1,76,1,25,69.84585522,500.0
51543.6501627224,197.14,56268.03,184,184,0.1367502,119,119,0,0,92,1,61,261.45708716,0.0
137549.776035191,169.1,79806.41,72,71,0.050979013031658,27,27,0,0,20,1,37,313.42268501,500.0
7645.2330263012,155.42,65701.57,36,36,0.021607578,13,13,0,0,10,1,23,49.19079286,0.0
33406.6903406346,189.97,46896.66,36,36,0.01965029131805012,6,6,0,0,6,1,27,175.85245218,0.0
20766.4630722963,227.09,35288.59,34,34,0.022827933993621916,14,14,0,0,10,1,20,91.44596007,0.0
123541.52370192399,194.41,101072.51,45,44,0.032164971062357,30,30,0,0,15,1,15,135.4689764,500.0
22670.608269301203,226.33,94994.22,22,22,0.01190092,6,6,0,0,6,1,16,100.16616564,0.0
115049.1653557161,216.33,96118.2,41,40,0.027916596815969887,14,13,1,1,11,1,25,253.59862867,278.2238895
