transaction_amount_usd,account_balance,transaction_count_recv,unique_incoming_address
144937.98613965858,389.30591628557363,2,2
233949.395368576,509.390567544364,1,1
9001.4470263438,472.01891695836395,0,0
32932.927619657996,337.92386089123005,0,0
24281.8083309648,235.55518459525672,0,0
2050.770609552,225.52717656325672,0,0
10996.1219924895,167.7657820352567,0,0
11371.3097009095,116.98929609471018,0,0
117052.03712074019,547.0155303747102,1,1
51543.6501627224,285.4216930147102,0,0
137549.776035191,471.94802899167854,1,1
7645.2330263012,422.7356285536785,0,0
33406.6903406346,246.86352608236047,0,0
20766.4630722963,155.39473807836686,0,0
123541.52370192399,519.8935967073045,1,1
22670.608269301203,419.7155301473045,0,0
115049.1653557161,444.31287438048855,1,1
31571.353818181098,307.3178695724885,0,0
180468.2771155184,516.8820244203667,1,1
16685.587948398,442.8613613357524,0,0
17993.7307176598,354.46369337852576,0,0
10122.4034422592,304.557351679338,0,0
185299.7719943916,391.35610738422497,1,1
39262.6935043116,185.94079056653783,0,0
160624.1831654416,406.71016974720743,1,1
41320.8131964158,196.7064202918831,0,0
185929.6851778545,273.16666839957,1,1
202272.908976252,377.72975026490167,1,1
158061.3322067388,653.0400351171184,1,1
78119.06069939739,304.85244288125404,0,0
212110.839315968,345.590389423254,6,4
359491.5939325429,325.116848519488,2,2
753097.2306222712,778.4489313915553,4,2
900138.5762662062,1045.5811494005552,5,3
1493585.13913552,644.2254411658957,5,2
3625529.4739465364,2243.23354900286,29,24
3639904.863333812,1154.0167472426642,16,11
5234840.217490699,2499.6948140614327,24,20
3677884.597954556,1868.2642743505326,43,42
3934566.716208546,3788.321442071313,58,58
9811872.055741502,7117.872282312353,166,155
11708212.3249853,7517.255065241,418,399
5447249.622417766,4797.497500012609,170,170
5524363.668115362,3720.368696576095,87,87
10138271.82122415,7916.860975889065,483,453
5596150.031660325,5157.586202267794,395,395
7857799.148115081,5723.597621680504,342,342
14256018.034995688,10749.92414315051,401,387
13422894.143356208,7266.842590694905,308,307
12903933.817347124,7877.979287445742,514,487
14847738.201911783,7107.240989679611,401,385
30148948.33540599,13483.022446161192,1601,1578
19121190.40074531,21577.467864003956,991,990
9791069.503745822,12514.346396692714,214,214
10358937.225671444,12687.854676126015,457,434
12034266.216235865,11621.002480429754,1099,1082
16850224.139717203,6057.613521159973,504,503
14355470.16655948,11778.359970756228,1282,1249
11066918.567924436,14361.951348746139,500,500
7439895.676601084,7887.404559963967,199,199
17826783.758232232,16955.549901935876,1368,1323
16962606.439089887,7946.097342861515,2122,2093
14255434.960661873,14363.345303058757,1171,1095
15205808.576810272,8493.647278805163,888,809
12588074.334488824,15091.97029793013,2869,2812
17985394.519682292,23006.127548469827,843,808
5526911.089230303,11936.791647850703,118,118
7165103.067842178,12164.717287580408,300,279
3807959.166175694,5498.790719561303,144,144
6933112.119706253,10050.701846666148,1113,1099
3851252.535760085,9926.88513916005,212,212
3648477.4701403957,8370.86079570757,250,240
5368982.871022754,3688.257419094628,760,749
3842857.3557702675,4119.229489626529,333,316
2151121.061708144,1494.9599662958399,79,79
3867084.666338675,7999.894295703935,1173,1169
2993836.2980907876,4576.964178638513,1000,1000
2660475.8471909673,7595.314175742719,1000,1000
784896.9938203678,4549.715473713614,0,0
754989.0394380048,4715.134516580572,0,0
4517382.7317674095,11399.263837488015,280,280
994033.08334728,7881.02206185892,0,0
1270155.631109669,3572.9672069786125,0,0
4878682.157631753,5462.685980136299,122,122
6866413.189679944,9685.920409784372,188,188
7125711.784311481,14538.53414229791,189,189
6698375.769407668,3416.9809348276813,77,77
9383386.532265807,2827.4405880831882,241,225
9679887.00936101,4916.136897510644,491,468
12048107.08836259,5995.780955138682,830,793
12509367.209070625,5544.023901962646,363,362
11471118.464161422,7397.841692521374,321,296
8150676.902302428,13632.265746798908,515,507
7426639.437331087,7660.900516014235,209,204
5280356.927036902,6818.892390159394,167,167
9486644.278073886,3726.0328676792883,886,886
9781807.375625778,6131.249167192063,470,458
7394622.816601552,2236.398650578742,289,289
12334137.081290193,8897.58428890454,417,388
10015361.059855852,5035.629309868816,313,301
14582805.44693016,3851.4930386929486,672,652
10791663.124636648,8515.762948147858,350,350
10144090.270570012,9403.063827163729,304,303
7809094.429811456,8646.687848898298,250,250
8470879.136938702,13302.057235455648,324,324
5005716.097877223,6613.452289521874,77,77
9587206.973142691,9290.977527774014,443,443
7629268.32857474,1280.0450056845891,71,71
11629436.039859217,6514.6464888967685,492,470
6796666.216713832,7430.30066873876,606,592
7760402.818440405,3010.5947863014444,644,640
9628801.278632976,2442.2995789876904,536,523
9677306.923601383,5823.831663090839,375,359
7890043.264620857,6842.745048099734,446,424
11690400.2207816,11201.356235923708,1225,1201
3965944.2804659833,3709.9675615491938,49,49
9849609.320313428,7513.220059119325,440,419
8419848.00981412,6023.798574780695,125,124
7483239.858201449,2463.944936762777,233,228
12831423.434449172,6247.734503509244,964,926
13566586.472143404,5512.1473110367215,655,630
15515891.610383265,8216.59891801645,822,763
8458304.780469822,8048.632054238107,382,363
9800695.67666843,6284.922011229553,207,197
14776424.621603275,7583.787815119008,1792,1752
11043703.185703713,4752.644263986818,725,701
18846132.14591469,6767.94098953211,1420,1354
20296978.042764615,6751.6682273920105,421,368
19052382.23260104,4827.821443634428,409,376
15222942.781507552,6476.566429681245,548,522
25601487.566187944,8836.948886300304,829,750
26241561.70594475,17407.5193717649,1593,1546
24276832.079382867,17909.37990426043,658,588
25126933.72185508,14515.263311828105,286,277
32425714.31128646,13508.339733046574,721,642
30832352.3744102,15588.565826932801,1838,1755
22491024.538880266,22750.796024192274,656,608
15111021.388088457,16348.647741757415,106,98
27885625.375986297,12701.511900420614,411,386
33171312.40879972,13264.414906020413,794,703
37784141.01447441,7336.905681928801,825,755
45374147.10318812,8330.893360900878,901,820
54675827.1229988,17250.395242065053,1239,1141
34710202.54691669,14644.382148150107,662,630
34540826.53480143,21313.86721440983,1451,1407
45464540.76812794,14673.154015161557,1312,1256
60034609.45473278,22996.79919088756,3247,3130
49374259.56692902,10540.512228171496,1552,1480
44563323.102013014,22247.8924381853,1756,1714
35214598.09917855,17966.265523306178,1119,1099
36571160.73195696,17097.099445313834,1529,1486
