transaction_amount_usd,usd_eth,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,eth_fee_used,token_transfers,outbound_transfers,unique_address_sent,unique_outgoing_address,ether_sent_out,ether_recv_in
80037.9,2667.93,8,2,6,0.01026715,0.011465999999999999,556,2,2,1,0.0,30.0
0.10123875241512456,2750.91,799,798,1,4.965103887,0.0018018,18974,798,673,21,0.0,3.6801913699512e-05
56010559.90819094,2758.46,6082,6040,42,23.028226471,0.048006,28189,5460,4695,608,405.4974484801951,19899.51328511425
1463820360.6442935,2775.96,87231,84581,2650,146.117571884,3.175494,31537,19157,16759,60733,261887.1884256811,265433.2198814608
532775016.3980495,2947.8,83232,80885,2347,109.793413221,2.1423339,28473,18653,16444,57559,100413.91431814904,80322.57268844891
455912350.59637916,2954.22,69981,67564,2417,82.39192981,2.005949631022974,21606,13883,12256,49113,69386.60444768061,84939.19071868452
1431682567.7311778,3432.21,89288,86409,2879,190.865200135,4.534813689011276,24264,17471,15005,62659,209782.94807716704,207348.45347785956
2047638545.2058585,3241.09,101629,97535,4094,227.21635949399996,6.1891703035449845,30500,22660,19619,68152,305174.08791301737,326600.5759210195
1728291925.1386254,3522.18,114602,110743,3859,225.501132777,5.100357600000012,35721,27625,23485,75647,259906.47737859067,230781.65472670362
1128116450.7612278,3491.74,112814,108813,4001,263.31718595899997,5.901292424999999,38995,31096,26953,71059,157872.07563267456,165209.38254039327
1863881718.602246,3483.96,126897,123076,3821,305.810291897,5.880705600067367,44463,35653,30982,80003,262906.78898643894,272082.62495696044
820315196.0779328,3916.25,179790,175890,3900,880.648509955,12.46539798019383,43617,36634,31745,125919,107317.28887254582,102147.17230279613
841888819.0423003,3927.06,162541,158623,3918,662.0488347959999,11.457176514033684,38877,31631,27604,115285,108538.2210895954,105843.22942104115
1707489312.2782857,3946.42,200448,196517,3931,1603.917862365,21.889639399980997,43947,36624,32096,146348,217932.61405521084,214735.30073294794
1136115552.2915866,4181.28,193189,189201,3988,1827.123681435,28.662316460717477,41198,34315,30313,143226,139453.97946344316,132260.7950294362
1442865434.272316,3811.29,135787,131836,3951,1277.433868649,26.352948048000002,36014,28215,24784,95958,188621.05392162738,189955.6049713763
