transaction_amount_usd,account_balace,historic_usd_val,inbound_transfers,unique_address_recv,token_contracts_count,unique_incoming_address
80037.9,29.98973285,80010.51,554,554,1,6
0.10123875241512456,25.0246657649137,68840.61000000002,18176,18080,21,1
56010559.90819094,19496.01227592797,53778970.019999996,22729,22351,30,41
1463820360.6442935,22895.92615982372,63558175.190000005,12380,11734,33,2161
532775016.3980495,2694.7911169025942,7943705.25,9820,9297,34,2063
455912350.59637916,18164.9854580965,53663363.34,7723,7267,31,2173
1431682567.7311778,15539.625658654004,53335258.58,6793,6081,33,2386
2047638545.2058585,36738.897307162115,119074072.68,7840,6914,33,3504
1728291925.1386254,7388.573522498049,26023885.889999997,8096,7320,30,3288
1128116450.7612278,14462.563244257777,50499510.580000006,7899,7039,33,3411
1863881718.602246,23332.58892288231,81289806.52,8810,7314,35,3305
820315196.0779328,17281.823843177634,67679942.61999999,6983,5792,35,3418
841888819.0423003,13924.783339827394,54683459.660000004,7246,6432,34,3371
1707489312.2782857,9123.552155199484,36005368.71,7323,6297,36,3398
1136115552.2915866,103.24403975754267,431692.23,6883,5964,35,3451
1442865434.272316,160.36122085746078,611183.12,7799,6516,35,3379
1904134402.818403,18775.504470020944,69825913.36,8686,7331,36,3446
1319247626.1294532,14287.453330118546,58393107.5,8365,7476,37,3410
605508987.7168589,14569.265991554328,53090988.05,7715,6782,40,3540
765365342.7011758,10116.029876836503,36277904.019999996,7288,6362,39,3581
1039752831.1841769,2333.8613746744654,7656769.029999999,8510,7341,34,3517
950485790.5008264,20.435152921168743,69022.8,8256,7077,35,3452
2124959564.995067,240.7763745385268,588190.2,7143,5990,34,3265
2555873156.6904707,13348.302734245955,37012707.75,6995,5518,33,1325
902830868.2435308,244.56816278077605,595733.8099999999,6332,5109,33,1273
699267247.9084804,11478.10499999121,26365551.529999997,6463,5616,33,1663
636485372.9322639,11547.271234490008,24232757.0,7163,5580,33,1701
1433497643.5917435,28620.43146940671,75808940.26,6923,5441,37,1122
1291242364.3445327,26894.378171758934,72816259.94999999,7638,6798,35,2518
710750980.6572509,2154.534196340856,6224320.0200000005,8339,7276,39,2558
849280577.1980412,14811.101482132388,40619149.599999994,7363,6715,38,2605
641800558.3925208,63.33162194852782,152778.68,7007,6161,35,2644
457355265.4702819,809.0531033183998,1843492.22,8513,7895,38,2629
478754780.953701,2367.8185489132456,5651769.77,6851,6218,36,2567
433848995.4654111,13180.173836422502,35683739.04,6902,6216,34,2635
396358278.6106388,4924.201188088505,12971478.500000002,6983,6390,35,2174
594213639.4825056,62.96668852817148,170420.61,6775,6252,34,2319
756546229.0871189,1143.0001411741014,3264419.83,6519,6173,36,2633
765716885.3724679,16543.939394447883,44522553.38,7192,6629,34,2649
195004979.34339836,3557.391168861251,9355085.0,7732,7349,39,2684
210181565.30692974,14776.228992288388,40058209.029999994,8251,7821,41,2641
295270544.2783665,3154.2527213941094,8179355.819999999,6062,5589,39,2689
1555854385.7162852,393843.7600492849,988244578.0300001,7245,6469,39,2666
1393543383.723476,12062.718454787157,31491415.310000002,6362,5764,36,2653
372524867.0200461,19039.131632533492,47056356.18,6695,6219,37,2681
323627413.09849083,14254.521296830051,33570680.56,8010,7347,37,2633
199936777.91327083,5247.691520847333,12435034.780000001,7339,6837,38,2623
309930750.968114,12718.878445078928,31920569.24,8237,7705,39,2511
432398659.1623008,19054.78965938943,49201753.49,7162,6555,39,2544
539120748.8183122,19123.254002889906,48641908.88999999,7735,7241,42,2549
401841592.2219093,15743.086389942837,37274905.650000006,7459,6967,42,2524
197538395.34154844,52.258757389257724,123973.97000000002,6849,6389,39,2573
705118940.5221556,10314.62530143676,23038437.63,6409,5994,40,2556
165729961.76915604,59.37121055265088,128634.26,5942,5554,40,2591
275165399.2621931,15835.360699585988,35528215.27,6470,6097,39,2555
460739711.97333014,19970.648677073525,37702387.95,7004,6204,38,2533
829763896.284084,9377.132202250705,17636791.55,8194,7186,45,2531
434597460.9342687,420.90267928338903,828315.4299999999,6681,6095,42,2536
326395834.3227751,3401.772682631925,6766159.89,6558,6117,43,2498
620967887.7766342,50852.84575626188,92057381.08000001,6140,5580,38,2506
251929910.15560037,68535.75303256791,125484851.66,6480,5998,43,2475
165072400.1493852,76060.78797436476,150853642.6,7335,6718,45,2447
441465577.0980366,58979.253892536566,122900969.25,6804,6280,40,2551
744807730.4562438,64003.815843596116,138607303.62,7083,6552,40,2585
446719866.3959392,49826.566632177804,113412241.37,6544,6144,41,2611
366335594.7558199,24740.897245030683,52185727.15,6118,5565,41,2550
966364044.9074854,67327.25314830778,145133993.26000002,6081,5675,40,2550
126914152.16911389,53445.36241346081,119032442.27,6478,6092,42,2520
151813510.24844813,55935.59189382681,129953482.59,6734,6402,46,2500
256435418.27307826,61491.95107798241,135079983.85999998,6414,5826,42,2543
371172961.62197226,27055.19584579338,62839209.519999996,5828,5269,44,2566
519074866.0380427,43884.66081177057,101686025.25999999,6452,5968,41,2547
334360418.41831136,58121.75524324314,122899032.67999999,5924,5288,44,2512
366062329.0882489,67538.79414529305,144915964.43,5832,5259,43,2552
268321262.5928466,61941.663648051355,130726022.88,4858,4486,43,2595
90080766.77710263,45504.55961809678,97400234.63,5422,5143,42,2569
380183967.00166273,49914.20810585261,101469595.38,5948,5509,40,2621
504157159.3593265,72509.94847936678,140713531.12,6371,5924,43,2599
369219346.10254794,95185.19755002826,189820224.68,6701,6126,45,2575
690250588.3305883,75387.16696982998,144605402.06,6374,5735,44,2464
383698409.74826247,48311.325413071216,90682773.38,6263,5728,43,2595
227072323.0870053,58322.419194877555,110810263.57000001,5688,5171,44,2569
255952966.7984768,73695.20668493674,139428383.23999998,4308,3952,44,2497
611498432.8181398,48731.86771648946,88623774.63000001,6077,5572,42,2544
306605958.19849366,50436.21987203066,90105315.52000001,8470,7768,47,2480
388209074.95659846,75689.61997096828,150999278.06,6749,6039,45,2413
213324540.8648092,65665.98962293466,132956555.82999998,6347,5810,43,2396
304528526.6454703,69258.4033210368,147213584.35,5893,5409,43,2374
