transaction_amount_usd,usd_eth,historic_usd_val,eth_fee_used,ether_sent_out
5186.40168,169.5,5186.400000000001,0.00126,0.0
77.1309274,193.03,96.35,0.00042,0.0
79.7240214,177.33,79.72,0.00042,0.0
96.0013114,162.83,157.51999999999998,0.000861,0.06
198983.4484271016,156.63,203888.19,0.020601000000000005,0.30000000000000004
436400.82213889033,172.86,547778.16,0.02436,240.894
602871.6792320734,194.17,894163.21,0.027300000000000005,922.1645000000001
651105.0974746016,228.58,1414617.24,0.047880000000000006,294.14
41555104.00739834,228.64,19369243.46,0.31542000000000003,51949.5993
18037229.16476527,220.7,23191587.209999997,0.12054000000000001,30680.176099999997
6648947.304146518,222.04,23892427.6,0.06468,13711.2649
7276241.1405299185,224.3,5566559.7299999995,0.05796,16901.713499999998
18754857.11928079,244.96,33782180.64,0.05249999999999999,22447.0956
9227139.664344953,247.75,5055981.329999999,0.04956000000000001,21489.8324
5345520.879143476,264.26,33601309.17,0.05124,12624.281500000001
16834407.13784479,255.77,32906400.24,0.05334,32157.333916
5468574.791732464,259.41,3162744.51,0.069342,10039.7938
3649632.6441817377,279.11,2975395.67,0.07224,6803.8103
16797314.07035886,335.95,11181326.049999999,0.21126,14188.4323
14999112.65031138,339.68,14267756.490000002,0.16799999999999998,17697.7647
24577366.92279323,394.66,19408647.49,0.18228,27549.9897
7586346.423570003,388.09,23013090.84,0.11549999999999999,4713.7992
24210509.403085675,343.84,75278760.97999999,0.28140000000000004,14120.1034
15841493.81726994,344.68,29200619.84,0.22774040625,16710.945200000002
37596325.81171552,353.61,75661557.16000001,0.1197,61912.734899999996
14777808.134330494,368.1,17205732.63,0.1785,19709.2844
32794265.118378665,351.53,93172977.58999999,0.19278,21468.107183
22066996.73264111,358.2,18016191.43,0.17514,33756.99468
16066095.339594048,350.53,17303260.64,0.17472,23383.3458
1177291.6508695355,325.3,84914216.2,0.139386994661376,396.45140000000004
15014577.836277707,320.97,13311623.430000002,0.373014819075129,28747.025200000004
15289300.659685457,326.85,8951353.010000002,0.170570631078036,27119.881699999998
7577781.558596993,304.54,7054667.54,0.204036,14551.8943
11608861.478012268,279.36,2976159.63,0.236103,25471.4592
9077340.286587477,253.68,3640555.92,0.33768,19062.7437
15375829.540666647,286.14,104369.8,0.219912,30630.0086
16847158.187867578,315.86,1526268.2099999997,0.24704399999999999,24644.0308
21628732.330378946,292.9,75155089.41999999,0.237048,18684.9182
11486518.86099539,280.68,2145835.06,0.27132,21512.13578
4003389.870928083,261.0,1558030.6199999999,0.24276,7476.63863
22159084.2390499,283.99,83209614.22,0.27793500000000004,21592.077409999998
20962583.307273287,276.41,94294922.94999999,0.33276599999999995,13858.5732
7871605.236265021,269.05,91543847.55,0.26164562565120003,13087.16
9158254.31906049,266.0,1591845.77,0.19716899999999998,16683.7109
6648585.24792618,265.88,1796960.03,0.207501,12115.71247
5590915.353007464,240.94,1337031.36,0.157563,12206.7473
3456971.103395597,245.67,1437075.7,0.17392200000000002,6885.47927
2695679.221807703,237.72,1405730.93,0.151536,5637.8463
