transaction_amount_usd,account_balance,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,token_contracts_count,unique_outgoing_address,unique_incoming_address,ether_recv_in
5186.40168,30.59824,3,0,3,0.0,0,0,0,0,0,0,0,3,30.59824
77.1309274,0.49916,1,0,1,0.0,0,0,0,0,0,0,0,1,0.39958
79.7240214,0.44958,1,0,1,0.0,0,0,0,0,0,0,0,1,0.44958
96.0013114,0.967340000000014,5,3,2,0.001399999999986,0,0,0,0,0,0,1,2,0.52958
198983.4484271016,1301.7186729866667,52,3,49,0.0013533333333239999,0,0,0,0,0,0,2,36,1270.10444632
436400.82213889033,3168.912202829999,60,2,58,0.00084,0,0,0,0,0,0,2,48,2283.6971265700004
602871.6792320734,4605.053396799666,74,9,65,0.0037800000000000012,0,0,0,0,0,0,8,54,2182.700717243
651105.0974746016,6188.718353640001,127,13,114,0.00546,0,0,0,0,0,0,11,89,2554.337983527
41555104.00739834,84715.02563921966,908,157,751,0.06609685999999998,0,0,0,0,0,0,122,412,129799.456015773
18037229.16476527,105081.95375666965,484,197,287,0.08336522,0,0,0,0,0,0,141,156,51047.18758267
6648947.304146518,107604.15956250999,345,191,154,0.082013266666662,0,0,0,0,0,0,142,97,16233.552719107
7276241.1405299185,24817.475345503997,483,345,138,0.14726948,0,0,0,0,0,0,219,86,15538.059752474
18754857.11928079,137908.96738845302,444,319,125,0.13725,0,0,0,0,0,0,207,82,54115.841692949
9227139.664344953,20407.593623316003,540,422,118,0.17819438,0,0,0,0,0,0,289,95,15753.920029243001
5345520.879143476,127152.46036835866,394,272,122,0.116828693333324,0,0,0,0,0,0,193,97,7603.981873735999
16834407.13784479,128656.21546871266,392,265,127,0.11379144000000001,0,0,0,0,0,0,204,103,33661.202807794
5468574.791732464,12192.068593495,389,223,166,0.09490726,0,0,0,0,0,0,166,114,11041.023407249002
3649632.6441817377,10660.297588318,444,272,172,0.11490372,0,0,0,0,0,0,212,131,6272.154890002999
16797314.07035886,33282.708879873004,905,406,499,0.17135552,0,0,0,0,0,0,288,261,35811.014255615
14999112.65031138,42003.522424563,1001,601,400,0.25314016,0,0,0,0,0,0,423,244,26458.83165631
24577366.92279323,49178.146972668,864,430,434,0.18174792,0,0,0,0,0,0,352,266,34724.795996025
7586346.423570003,59298.335035149,554,279,275,0.11846568,0,0,0,0,0,0,247,157,14834.105728161001
24210509.403085675,218935.4379604997,930,260,670,0.11017244000000001,0,0,0,0,0,0,222,385,56292.034231123995
15841493.81726994,84718.05684289901,1041,498,543,0.21140228,0,0,0,0,0,0,358,323,29249.057751346
37596325.81171552,213968.94082067898,1165,880,285,0.372485706666662,0,0,0,0,0,0,611,247,44408.70909681999
14777808.134330494,46742.00657594,1045,620,425,0.26167877999999994,0,0,0,0,0,0,467,294,20436.893634041
32794265.118378665,265049.860859395,1178,719,459,0.30252664,0,0,0,0,0,0,591,319,71821.98219309498
22066996.73264111,50296.458510455,1297,880,417,0.37053188,0,0,0,0,0,0,715,315,27848.24466294
